state,district,population,households,literacy_rate_pct,sc_population,st_population,sub_centres,phcs,chcs,sub_divisional_hospitals,district_hospitals,institutional_delivery_pct_hmis,csection_rate_pct,institutional_births_pct,skilled_birth_attendance_pct,child_immunization_pct,sanitation_pct,drinking_water_pct,electricity_pct,health_insurance_pct,women_anaemia_pct,sub_centres_per_lakh,phcs_per_lakh,chcs_per_lakh,district_hospitals_per_lakh,sc_population_pct,st_population_pct
Maharashtra,Buldhana,2586258.0,561504.0,72.68702503771858,470895.0,124837.0,280.0,58.0,12.0,1.0,2.0,99.5,11.7,93.9,92.4,85.9,68.9,89.7,97.1,37.9,57.8,10.826452735960604,2.2426223524489823,0.46399083154116877,0.07733180525686147,18.20758021821489,4.826935286425407
Maharashtra,Chandrapur,2204307.0,536686.0,71.61502458595831,348365.0,389441.0,290.5,60.5,10.0,2.5,1.0,99.7,31.3,99.6,96.5,95.0,77.3,96.5,98.9,28.9,55.5,11.293871357259581,2.300449145039622,0.41583510205932506,0.02836167107670866,15.803833132136313,17.667275928443722
Maharashtra,Dhule,2050862.0,408874.0,63.09132452597981,127571.0,647315.0,232.0,47.0,5.0,2.0,1.0,99.8,12.9,77.2,84.2,56.6,58.9,89.9,96.0,19.8,61.2,11.31231647960711,2.291719286816958,0.2437999241294636,0.04875998482589273,6.22036002422396,31.56306957757275
Maharashtra,Gadchiroli,1072942.0,250435.0,66.02081007174667,120745.0,415306.0,376.0,48.0,9.0,3.0,1.0,94.9,20.9,97.3,98.2,97.9,62.4,83.0,95.8,33.3,66.2,35.043832751444164,4.473680776780105,0.8388151456462697,0.09320168284958553,11.253637195673205,38.70721809752997
Maharashtra,Gondia,1322507.0,292369.0,75.93479656440381,175961.0,214253.0,258.0,41.0,10.0,1.0,0.0,99.9,32.9,99.1,98.3,88.2,74.3,91.6,98.2,30.6,60.4,19.50840335816748,3.10017262668553,0.7561396650452512,0.0,13.305109160102743,16.200519165494022
Maharashtra,Hingoli,1177345.0,228868.0,67.16323592489883,182565.0,111954.0,132.0,27.0,3.0,2.0,1.0,99.5,17.8,94.0,95.3,76.9,69.0,92.4,98.1,14.7,51.3,11.211666928555351,2.293295508113595,0.2548106120126216,0.08493687067087387,15.50649979402809,9.509022419087014
Maharashtra,Jalgaon,4229917.0,903643.0,68.36734621506758,389273.0,604367.0,443.0,95.0,17.0,3.0,0.0,100.0,11.3,86.5,81.9,61.3,59.7,94.3,96.8,11.9,65.2,10.473018737719913,2.24590695278418,0.4018991389192743,0.0,9.202851970854274,14.28791628771912
Maharashtra,Jalna,1954528.0,390897.0,61.05080101180439,271837.0,42204.0,218.0,44.0,9.0,1.0,1.0,99.9,12.9,92.8,86.5,54.3,63.6,82.8,95.7,9.7,58.2,11.153587976227508,2.2511828942844514,0.46046922837636506,0.051163247597373895,13.908063737127327,2.1592937015995677
Maharashtra,Kolhapur,3876001.0,840240.0,72.90619894060914,504461.0,30206.0,413.0,92.0,18.0,4.0,0.0,100.0,35.5,99.2,93.6,67.2,82.0,97.3,98.8,16.5,50.1,10.655312008433434,2.3735803989730653,0.4643961650164693,0.0,13.01498632224295,0.7793083644715262
Maharashtra,Latur,2454196.0,481572.0,67.25917571375717,480913.0,57488.0,252.0,56.0,10.0,1.0,0.0,100.0,22.1,94.7,93.4,79.2,72.5,94.6,97.2,33.6,50.7,10.268128543930477,2.281806343095661,0.4074654184099396,0.0,19.595541676377927,2.3424371973550606
Maharashtra,Mumbai,9356962.0,2105604.0,80.96094651234023,583302.0,104560.0,0.0,37.0,0.0,0.0,0.0,100.0,32.0,99.5,98.3,0.0,58.6,100.0,99.6,30.7,45.9,0.0,0.39542749024736873,0.0,0.0,6.23388232206137,1.1174567129801318
Maharashtra,Nagpur,4653570.0,1041544.0,78.94601349071789,867713.0,437571.0,316.0,84.0,10.0,2.0,0.0,100.0,30.6,100.0,96.6,89.4,88.9,99.5,99.5,25.6,53.6,6.790485584185904,1.8050657882013164,0.21488878430968053,0.0,18.64617916997058,9.402910023917121
Maharashtra,Nanded,3361292.0,665434.0,65.13641183211693,640483.0,281695.0,379.0,76.0,13.0,4.0,1.0,100.0,17.2,94.8,92.6,75.7,68.0,94.8,96.4,15.7,57.3,11.275426234912052,2.2610353399823637,0.38675604499698335,0.029750464999767943,19.054667074446375,8.380557238109631
Maharashtra,Nandurbar,1648295.0,323521.0,54.99676938897466,47985.0,1141933.0,293.0,61.0,12.0,2.0,0.0,85.2,4.5,76.3,77.9,72.4,54.1,94.6,96.2,15.3,64.2,17.775944233283486,3.7007938506153324,0.7280250197931802,0.0,2.9111900478979793,69.27964957729047
Maharashtra,Nashik,6107187.0,1222887.0,71.15167752354725,554687.0,1564369.0,592.0,153.0,24.0,6.0,1.0,98.6,18.9,90.5,89.9,70.4,68.3,86.3,95.3,14.7,56.2,9.693497186184082,2.5052450498077103,0.3929796156561114,0.016374150652337976,9.082528502893394,25.615213681847305
Maharashtra,Osmanabad,1657576.0,351281.0,68.64300641418554,265184.0,36039.0,211.0,46.0,6.0,4.0,1.0,99.8,24.7,98.1,99.0,89.3,71.2,96.4,96.8,14.8,49.1,12.729431410686448,2.7751367056472827,0.3619743529105151,0.060329058818419184,15.998301133703674,2.174198950757009
Maharashtra,Palghar,2990116.0,669823.0,66.6454077366898,86978.0,1118008.0,314.0,69.0,13.0,3.0,0.0,99.3,20.1,94.2,95.7,94.0,75.1,91.1,97.7,18.8,56.9,10.501264833872666,2.3076027819656493,0.4347657415297601,0.0,2.9088503589827286,37.390121319707994
Maharashtra,Parbhani,1836086.0,361130.0,63.058810970727954,247308.0,40514.0,215.0,38.0,6.0,2.0,1.0,100.0,12.6,85.6,90.8,52.0,60.1,89.0,96.8,10.5,58.8,11.709691158257293,2.069619832622219,0.32678207883508725,0.054463679805847875,13.469303725424625,2.2065415236541206
Maharashtra,Pune,9429408.0,2151503.0,76.05698045943076,1180703.0,348876.0,545.0,192.0,40.0,5.0,1.0,100.0,30.4,98.0,98.5,58.1,79.6,96.9,99.4,14.4,51.9,5.77979020528118,2.0361829714018103,0.42420478570871045,0.01060511964271776,12.521496577515789,3.6998717204728018
Maharashtra,Raigad,2634200.0,611790.0,73.64642016551515,134952.0,305125.0,288.0,60.0,8.0,6.0,1.0,99.2,20.6,96.6,97.6,92.3,74.8,87.8,97.9,26.3,54.2,10.933110621820667,2.277731379545972,0.3036975172727963,0.03796218965909954,5.123073418874801,11.583213119732747
Maharashtra,Ratnagiri,1615069.0,397115.0,74.26258568519364,66948.0,20374.0,378.0,70.0,8.0,3.0,1.0,99.9,35.6,97.8,95.6,77.2,85.6,90.9,99.2,16.6,43.4,23.404572807725245,4.334180149578748,0.4953348742375713,0.06191685927969641,4.145209895057115,1.2614940909645347
Maharashtra,Sangli,2822143.0,598386.0,72.62094798172878,353093.0,18333.0,320.0,70.0,15.0,2.0,0.0,100.0,34.3,98.0,97.6,75.0,84.7,96.8,98.2,12.3,47.5,11.338900969936676,2.480384587173648,0.5315109829657817,0.0,12.511520500555784,0.6496127233807784
Maharashtra,Satara,3003741.0,653735.0,74.09740054152472,323236.0,29635.0,401.0,76.0,15.0,2.0,1.0,100.0,35.7,97.1,97.9,82.8,78.7,95.6,97.9,11.4,49.6,13.35001919273333,2.530178201116541,0.4993772765361594,0.03329181843574396,10.761114223896135,0.9866030393432723
Maharashtra,Sindhudurg,849651.0,209839.0,78.39301077736623,55586.0,6976.0,248.0,38.0,7.0,3.0,1.0,99.9,39.1,100.0,98.6,76.3,87.9,73.2,99.4,13.2,41.2,29.188455024474756,4.472424560201777,0.8238676821424327,0.11769538316320464,6.542215568509895,0.8210429929465157
Maharashtra,Solapur,4317756.0,873167.0,67.41177593175715,649745.0,77592.0,427.0,95.0,16.0,3.0,0.0,100.0,19.0,96.2,96.3,83.6,67.8,90.4,97.1,20.5,54.5,9.889396251200855,2.2002169645528835,0.37056285718785403,0.0,15.04821022772014,1.7970445759324982
Maharashtra,Thane,8070032.0,1859342.0,77.25354744566069,643111.0,424443.0,176.0,138.0,13.0,3.0,1.0,99.2,21.0,93.6,93.9,74.9,74.7,96.7,99.3,22.7,58.8,2.180908328492378,1.7100303939315233,0.16108981971818698,0.01239152459370669,7.969125772983304,5.2594958731266495
Maharashtra,Wardha,1300774.0,309846.0,78.37318396585418,188830.0,149507.0,181.0,32.0,8.0,2.0,1.0,99.8,34.2,98.8,99.0,92.4,80.2,98.5,98.8,27.1,60.0,13.91479226983319,2.4600737714622216,0.6150184428655554,0.07687730535819443,14.516741570787852,11.493695292187574
Maharashtra,Washim,1197160.0,259464.0,72.66505730228207,229462.0,80471.0,150.0,27.0,6.0,1.0,1.0,99.8,11.4,92.9,83.1,71.6,61.5,73.7,97.2,24.1,56.4,12.529653513314846,2.2553376323966723,0.5011861405325938,0.08353102342209896,19.167195696481674,6.721824985799726
Maharashtra,Yavatmal,2772348.0,646886.0,72.9552711275785,328518.0,514057.0,444.0,69.0,14.0,3.0,0.0,100.0,16.1,96.3,96.8,74.7,66.4,89.5,97.2,29.0,58.4,16.015305437845466,2.4888650342597685,0.5049871084005327,0.0,11.849811062680443,18.542296998789475
Manipur,Bishnupur,237399.0,46580.0,65.85242566312411,22113.0,3287.0,33.0,7.0,2.0,0.0,1.0,95.2,10.6,89.5,92.6,66.6,52.6,77.7,98.6,9.3,35.8,13.900648275687766,2.948622361509526,0.8424635318598646,0.4212317659299323,9.314698040008592,1.3845888146116874
Manipur,Chandel,84842.0,16453.0,65.1540510596167,80.0,78512.0,15.0,2.0,1.0,0.0,1.0,51.6,6.2,55.5,74.0,55.5,85.2,68.6,99.9,16.1,27.3,17.679922679804815,2.3573230239739753,1.1786615119869877,1.1786615119869877,0.09429292095895901,92.53907262912236
Manipur,Churachandpur,233753.0,42237.0,71.75993463185499,425.0,216248.0,52.0,7.0,0.0,0.0,1.0,89.8,21.0,72.9,80.0,64.9,81.2,62.5,94.0,18.2,32.0,22.245703798453924,2.9946139728687977,0.0,0.42780199612411396,0.18181584835274842,92.51132605784738
Manipur,Imphal East,401649.0,81668.0,72.1667426036166,8216.0,20628.0,43.0,14.0,1.0,0.0,0.0,98.9,43.8,91.7,93.0,76.2,59.5,90.2,98.6,7.0,35.9,10.705865071243798,3.485630488311934,0.24897360630799528,0.0,2.0455671494264895,5.135827550921327
Manipur,Imphal West,517992.0,111156.0,75.79769571730837,16530.0,24161.0,52.0,12.0,2.0,0.0,0.0,99.0,41.3,95.7,98.0,74.1,58.7,89.1,99.4,15.7,26.8,10.038765077452933,2.3166380947968306,0.38610634913280517,0.0,3.1911689755826345,4.664357750698852
