Country,State,District,Year,"Functional Sub Centres (UOM:Number), Scaling Factor:1","Functional Primary Health Centres (Phcs) (UOM:Number), Scaling Factor:1","Functional Community Health Centres (Chcs) (UOM:Number), Scaling Factor:1","Functional Health And Wellness Centres-Sub Centres  (Hwc-Scs) (UOM:Number), Scaling Factor:1","Functional Health And Wellness Centres (Hwc)-Primary Health Centres (Phcs) (UOM:Number), Scaling Factor:1","Functional Sub Divisional Hospitals (Sdhs) (UOM:Number), Scaling Factor:1","Functional District Hospitals (Dhs) (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2021",41,4,1,,,0,1
India,Andaman and Nicobar Islands,North and Middle Andaman,"Financial Year (Apr - Mar), 2021",44,8,2,,,0,1
India,Andaman and Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2021",39,15,1,,,0,0
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2021",910,129,15,,,6,1
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2021",1070,136,17,,,5,2
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2021",1288,163,25,,,4,1
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2021",885,163,17,,,3,1
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2021",855,152,13,,,2,1
India,Andhra Pradesh,Kurnool,"Financial Year (Apr - Mar), 2021",926,131,17,,,4,1
India,Andhra Pradesh,Prakasam,"Financial Year (Apr - Mar), 2021",911,115,13,,,4,1
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Financial Year (Apr - Mar), 2021",683,112,14,,,2,1
India,Andhra Pradesh,Srikakulam,"Financial Year (Apr - Mar), 2021",850,99,13,,,4,2
India,Andhra Pradesh,Visakhapatnam,"Financial Year (Apr - Mar), 2021",808,163,10,,,4,2
India,Andhra Pradesh,Vizianagaram,"Financial Year (Apr - Mar), 2021",673,88,8,,,3,2
India,Andhra Pradesh,West Godavari,"Financial Year (Apr - Mar), 2021",940,128,10,,,6,1
India,Andhra Pradesh,Y.S.R.,"Financial Year (Apr - Mar), 2021",681,110,9,,,4,1
India,Arunachal Pradesh,Anjaw,"Financial Year (Apr - Mar), 2021",8,6,4,,,0,1
India,Arunachal Pradesh,Changlang,"Financial Year (Apr - Mar), 2021",25,7,5,,,0,1
India,Arunachal Pradesh,Dibang Valley,"Financial Year (Apr - Mar), 2021",5,1,0,,,0,1
India,Arunachal Pradesh,East Kameng,"Financial Year (Apr - Mar), 2021",17,8,1,,,0,1
India,Arunachal Pradesh,East Siang,"Financial Year (Apr - Mar), 2021",16,9,2,,,0,1
India,Arunachal Pradesh,Kamle,"Financial Year (Apr - Mar), 2021",20,4,2,,,0,0
India,Arunachal Pradesh,Kra Daadi,"Financial Year (Apr - Mar), 2021",8,6,0,,,0,1
India,Arunachal Pradesh,Kurung Kumey,"Financial Year (Apr - Mar), 2021",13,4,2,,,0,1
India,Arunachal Pradesh,Leparada,"Financial Year (Apr - Mar), 2021",10,2,0,,,0,0
India,Arunachal Pradesh,Lohit,"Financial Year (Apr - Mar), 2021",13,4,2,,,0,1
India,Arunachal Pradesh,Longding,"Financial Year (Apr - Mar), 2021",8,2,3,,,0,0
India,Arunachal Pradesh,Lower Dibang Valley,"Financial Year (Apr - Mar), 2021",13,4,4,,,0,1
India,Arunachal Pradesh,Lower Siang,"Financial Year (Apr - Mar), 2021",4,5,1,,,0,1
India,Arunachal Pradesh,Lower Subansiri,"Financial Year (Apr - Mar), 2021",23,5,2,,,0,1
India,Arunachal Pradesh,Namsai,"Financial Year (Apr - Mar), 2021",15,4,2,,,0,1
India,Arunachal Pradesh,Pakke Kessang,"Financial Year (Apr - Mar), 2021",10,3,2,,,0,0
India,Arunachal Pradesh,Papum Pare,"Financial Year (Apr - Mar), 2021",37,17,4,,,0,0
India,Arunachal Pradesh,Shi Yomi,"Financial Year (Apr - Mar), 2021",0,2,1,,,0,0
India,Arunachal Pradesh,Siang,"Financial Year (Apr - Mar), 2021",27,7,2,,,0,1
India,Arunachal Pradesh,Tawang,"Financial Year (Apr - Mar), 2021",12,6,2,,,0,1
India,Arunachal Pradesh,Tirap,"Financial Year (Apr - Mar), 2021",10,7,1,,,0,1
India,Arunachal Pradesh,Upper Siang,"Financial Year (Apr - Mar), 2021",13,2,4,,,0,1
India,Arunachal Pradesh,Upper Subansiri,"Financial Year (Apr - Mar), 2021",23,5,4,,,0,1
India,Arunachal Pradesh,West Kameng,"Financial Year (Apr - Mar), 2021",22,5,5,,,0,1
India,Arunachal Pradesh,West Siang,"Financial Year (Apr - Mar), 2021",15,6,2,,,0,1
India,Assam,Baksa,"Financial Year (Apr - Mar), 2021",157,35,8,,,0,1
India,Assam,Barpeta,"Financial Year (Apr - Mar), 2021",264,50,11,,,1,1
India,Assam,Biswanath,"Financial Year (Apr - Mar), 2021",139,26,3,,,2,0
India,Assam,Bongaigaon,"Financial Year (Apr - Mar), 2021",108,29,4,,,0,1
India,Assam,Cachar,"Financial Year (Apr - Mar), 2021",270,35,7,,,0,1
India,Assam,Charaideo,"Financial Year (Apr - Mar), 2021",70,19,2,,,1,0
India,Assam,Chirang,"Financial Year (Apr - Mar), 2021",87,24,4,,,0,1
India,Assam,Darrang,"Financial Year (Apr - Mar), 2021",159,34,7,,,0,1
India,Assam,Dhemaji,"Financial Year (Apr - Mar), 2021",98,23,5,,,0,1
India,Assam,Dibrugarh,"Financial Year (Apr - Mar), 2021",234,31,10,,,0,0
India,Assam,Dima Hasao,"Financial Year (Apr - Mar), 2021",76,12,3,,,0,1
India,Assam,Goalpara,"Financial Year (Apr - Mar), 2021",155,37,7,,,0,1
India,Assam,Golaghat,"Financial Year (Apr - Mar), 2021",143,39,9,,,1,1
India,Assam,Hailakandi,"Financial Year (Apr - Mar), 2021",107,13,4,,,0,1
India,Assam,Hojai,"Financial Year (Apr - Mar), 2021",94,7,5,,,0,1
India,Assam,Jorhat,"Financial Year (Apr - Mar), 2021",110,36,6,,,1,0
India,Assam,Kamrup,"Financial Year (Apr - Mar), 2021",280,65,13,,,1,1
India,Assam,Kamrup Metro,"Financial Year (Apr - Mar), 2021",50,48,3,,,0,1
India,Assam,Karbi Anglong,"Financial Year (Apr - Mar), 2021",115,24,6,,,0,0
India,Assam,Karimganj,"Financial Year (Apr - Mar), 2021",232,29,7,,,0,1
India,Assam,Kokrajhar,"Financial Year (Apr - Mar), 2021",161,46,2,,,1,1
India,Assam,Lakhimpur,"Financial Year (Apr - Mar), 2021",149,29,9,,,1,0
India,Assam,Majuli,"Financial Year (Apr - Mar), 2021",34,8,2,,,0,1
India,Assam,Marigaon,"Financial Year (Apr - Mar), 2021",122,34,6,,,0,1
India,Assam,Nagaon,"Financial Year (Apr - Mar), 2021",258,72,13,,,0,1
India,Assam,Nalbari,"Financial Year (Apr - Mar), 2021",124,44,11,,,0,1
India,Assam,Sivasagar,"Financial Year (Apr - Mar), 2021",150,27,2,,,1,1
India,Assam,Sonitpur,"Financial Year (Apr - Mar), 2021",146,29,6,,,0,1
India,Assam,South Salmara Mancachar,"Financial Year (Apr - Mar), 2021",51,7,2,,,1,0
India,Assam,Tinsukia,"Financial Year (Apr - Mar), 2021",166,22,8,,,1,1
India,Assam,Udalguri,"Financial Year (Apr - Mar), 2021",150,24,7,,,0,1
India,Assam,West Karbi Anglong,"Financial Year (Apr - Mar), 2021",50,18,2,,,1,0
India,Bihar,Araria,"Financial Year (Apr - Mar), 2021",221,39,6,,,1,1
India,Bihar,Arwal,"Financial Year (Apr - Mar), 2021",62,30,3,,,0,1
India,Bihar,Aurangabad,"Financial Year (Apr - Mar), 2021",248,68,8,,,1,1
India,Bihar,Banka,"Financial Year (Apr - Mar), 2021",242,34,8,,,0,1
India,Bihar,Begusarai,"Financial Year (Apr - Mar), 2021",290,40,7,,,1,1
India,Bihar,Bhagalpur,"Financial Year (Apr - Mar), 2021",327,66,11,,,2,1
India,Bihar,Bhojpur,"Financial Year (Apr - Mar), 2021",300,39,10,,,1,1
India,Bihar,Buxar,"Financial Year (Apr - Mar), 2021",149,35,4,,,1,1
India,Bihar,Darbhanga,"Financial Year (Apr - Mar), 2021",259,63,10,,,2,0
India,Bihar,Gaya,"Financial Year (Apr - Mar), 2021",473,73,18,,,2,1
India,Bihar,Gopalganj,"Financial Year (Apr - Mar), 2021",189,30,10,,,1,1
India,Bihar,Jamui,"Financial Year (Apr - Mar), 2021",277,36,7,,,0,1
India,Bihar,Jehanabad,"Financial Year (Apr - Mar), 2021",110,33,6,,,0,1
India,Bihar,Kaimur (Bhabua),"Financial Year (Apr - Mar), 2021",181,27,5,,,1,1
India,Bihar,Katihar,"Financial Year (Apr - Mar), 2021",340,57,7,,,2,1
India,Bihar,Khagaria,"Financial Year (Apr - Mar), 2021",187,26,4,,,0,1
India,Bihar,Kishanganj,"Financial Year (Apr - Mar), 2021",258,16,4,,,0,1
India,Bihar,Lakhisarai,"Financial Year (Apr - Mar), 2021",102,19,3,,,0,1
India,Bihar,Madhepura,"Financial Year (Apr - Mar), 2021",272,27,8,,,1,1
India,Bihar,Madhubani,"Financial Year (Apr - Mar), 2021",436,85,13,,,3,1
India,Bihar,Munger,"Financial Year (Apr - Mar), 2021",154,32,3,,,1,1
India,Bihar,Muzaffarpur,"Financial Year (Apr - Mar), 2021",520,88,14,,,0,1
India,Bihar,Nalanda,"Financial Year (Apr - Mar), 2021",367,65,8,,,2,1
India,Bihar,Nawada,"Financial Year (Apr - Mar), 2021",173,45,8,,,1,1
India,Bihar,Pashchim Champaran,"Financial Year (Apr - Mar), 2021",554,44,11,,,2,0
India,Bihar,Purbi Champaran,"Financial Year (Apr - Mar), 2021",413,90,14,,,3,1
India,Bihar,Purnia,"Financial Year (Apr - Mar), 2021",472,51,5,,,2,1
India,Bihar,Rohtas,"Financial Year (Apr - Mar), 2021",255,48,6,,,2,1
India,Bihar,Saharsa,"Financial Year (Apr - Mar), 2021",166,40,4,,,1,1
India,Bihar,Samastipur,"Financial Year (Apr - Mar), 2021",358,59,12,,,4,1
India,Bihar,Saran,"Financial Year (Apr - Mar), 2021",394,52,14,,,1,1
India,Bihar,Sheikhpura,"Financial Year (Apr - Mar), 2021",75,15,2,,,0,1
India,Bihar,Sheohar,"Financial Year (Apr - Mar), 2021",96,13,2,,,0,1
India,Bihar,Sitamarhi,"Financial Year (Apr - Mar), 2021",208,45,13,,,1,1
India,Bihar,Siwan,"Financial Year (Apr - Mar), 2021",379,53,14,,,1,1
India,Bihar,Supaul,"Financial Year (Apr - Mar), 2021",173,29,6,,,1,1
India,Bihar,Vaishali,"Financial Year (Apr - Mar), 2021",336,49,5,,,1,1
India,Chandigarh,Chandigarh,"Financial Year (Apr - Mar), 2021",0,43,2,,,1,1
India,Chhattisgarh,Balod,"Financial Year (Apr - Mar), 2021",196,30,6,,,0,1
India,Chhattisgarh,Balodabazar-Bhatapara,"Financial Year (Apr - Mar), 2021",219,31,6,,,1,1
India,Chhattisgarh,Balrampur Ramanujganj,"Financial Year (Apr - Mar), 2021",192,28,6,,,0,1
India,Chhattisgarh,Bastar,"Financial Year (Apr - Mar), 2021",243,40,7,,,1,1
India,Chhattisgarh,Bemetara,"Financial Year (Apr - Mar), 2021",127,20,4,,,1,1
India,Chhattisgarh,Bijapur,"Financial Year (Apr - Mar), 2021",77,10,5,,,0,1
India,Chhattisgarh,Bilaspur,"Financial Year (Apr - Mar), 2021",228,44,5,,,0,1
India,Chhattisgarh,Dhamtari,"Financial Year (Apr - Mar), 2021",182,26,4,,,1,1
India,Chhattisgarh,Durg,"Financial Year (Apr - Mar), 2021",221,30,8,,,1,1
India,Chhattisgarh,Gaurela Pendra Marwahi,"Financial Year (Apr - Mar), 2021",76,15,3,,,0,1
India,Chhattisgarh,Janjgir-Champa,"Financial Year (Apr - Mar), 2021",273,47,11,,,1,1
India,Chhattisgarh,Jashpur,"Financial Year (Apr - Mar), 2021",259,35,8,,,0,1
India,Chhattisgarh,Kabeerdham,"Financial Year (Apr - Mar), 2021",145,25,6,,,0,1
India,Chhattisgarh,Kondagaon,"Financial Year (Apr - Mar), 2021",173,22,6,,,0,1
India,Chhattisgarh,Korba,"Financial Year (Apr - Mar), 2021",285,39,6,,,0,1
India,Chhattisgarh,Mahasamund,"Financial Year (Apr - Mar), 2021",227,31,5,,,0,1
India,Chhattisgarh,Narayanpur,"Financial Year (Apr - Mar), 2021",63,8,1,,,0,1
India,Chhattisgarh,Raigarh,"Financial Year (Apr - Mar), 2021",350,55,10,,,2,1
India,Chhattisgarh,Raipur,"Financial Year (Apr - Mar), 2021",275,35,10,,,1,1
India,Chhattisgarh,Rajnandgaon,"Financial Year (Apr - Mar), 2021",332,51,10,,,1,1
India,Chhattisgarh,Sukma,"Financial Year (Apr - Mar), 2021",95,13,3,,,0,1
India,Chhattisgarh,Surajpur,"Financial Year (Apr - Mar), 2021",209,36,9,,,0,1
India,Chhattisgarh,Surguja,"Financial Year (Apr - Mar), 2021",204,28,6,,,0,0
India,Chhattisgarh,Unknown Districts Of India,"Financial Year (Apr - Mar), 2021",594,89,17,,,1,4
India,Chhattisgarh,Uttar Bastar Kanker,"Financial Year (Apr - Mar), 2021",249,34,8,,,1,1
India,Delhi,Central,"Financial Year (Apr - Mar), 2021",1,70,0,,,4,8
India,Delhi,East,"Financial Year (Apr - Mar), 2021",0,33,0,,,0,2
India,Delhi,New Delhi,"Financial Year (Apr - Mar), 2021",1,72,0,,,1,2
India,Delhi,North,"Financial Year (Apr - Mar), 2021",0,41,0,,,0,4
India,Delhi,North East,"Financial Year (Apr - Mar), 2021",0,27,0,,,1,1
India,Delhi,North West,"Financial Year (Apr - Mar), 2021",0,59,0,,,1,3
India,Delhi,Shahdara,"Financial Year (Apr - Mar), 2021",0,36,0,,,0,6
India,Delhi,South,"Financial Year (Apr - Mar), 2021",0,32,0,,,0,4
India,Delhi,South East,"Financial Year (Apr - Mar), 2021",0,56,0,,,1,1
India,Delhi,West,"Financial Year (Apr - Mar), 2021",0,59,0,,,2,4
India,Goa,North Goa,"Financial Year (Apr - Mar), 2021",114,13,4,,,0,1
India,Goa,South Goa,"Financial Year (Apr - Mar), 2021",105,15,2,,,2,1
India,Gujarat,Ahmadabad,"Financial Year (Apr - Mar), 2021",211,122,17,,,3,0
India,Gujarat,Amreli,"Financial Year (Apr - Mar), 2021",248,44,12,,,3,0
India,Gujarat,Arvalli,"Financial Year (Apr - Mar), 2021",219,38,10,,,1,0
India,Gujarat,Banas Kantha,"Financial Year (Apr - Mar), 2021",759,125,26,,,4,1
India,Gujarat,Bharuch,"Financial Year (Apr - Mar), 2021",241,46,9,,,1,0
India,Gujarat,Bhavnagar,"Financial Year (Apr - Mar), 2021",299,65,13,,,2,0
India,Gujarat,Botad,"Financial Year (Apr - Mar), 2021",95,19,5,,,0,1
India,Gujarat,Chhotaudepur,"Financial Year (Apr - Mar), 2021",310,51,12,,,0,1
India,Gujarat,Dang,"Financial Year (Apr - Mar), 2021",68,10,3,,,0,1
India,Gujarat,Dohad,"Financial Year (Apr - Mar), 2021",637,99,20,,,2,0
India,Gujarat,Gandhinagar,"Financial Year (Apr - Mar), 2021",156,36,9,,,1,0
India,Gujarat,Gir Somnath,"Financial Year (Apr - Mar), 2021",174,33,7,,,1,1
India,Gujarat,Jamnagar,"Financial Year (Apr - Mar), 2021",210,45,9,,,0,1
India,Gujarat,Junagadh,"Financial Year (Apr - Mar), 2021",237,46,9,,,1,0
India,Gujarat,Kachchh,"Financial Year (Apr - Mar), 2021",442,77,16,,,3,0
India,Gujarat,Kheda,"Financial Year (Apr - Mar), 2021",316,58,14,,,2,1
India,Gujarat,Mahesana,"Financial Year (Apr - Mar), 2021",295,63,13,,,3,1
India,Gujarat,Mahisagar,"Financial Year (Apr - Mar), 2021",225,36,8,,,1,1
India,Gujarat,Morbi,"Financial Year (Apr - Mar), 2021",198,35,5,,,2,1
India,Gujarat,Narmada,"Financial Year (Apr - Mar), 2021",174,28,3,,,2,1
India,Gujarat,Navsari,"Financial Year (Apr - Mar), 2021",296,50,11,,,3,1
India,Gujarat,Panch Mahals,"Financial Year (Apr - Mar), 2021",300,54,12,,,1,1
India,Gujarat,Patan,"Financial Year (Apr - Mar), 2021",326,55,14,,,2,0
India,Gujarat,Porbandar,"Financial Year (Apr - Mar), 2021",84,17,4,,,5,1
India,Gujarat,Rajkot,"Financial Year (Apr - Mar), 2021",347,82,12,,,0,1
India,Gujarat,Sabar Kantha,"Financial Year (Apr - Mar), 2021",281,49,12,,,2,0
India,Gujarat,Surat,"Financial Year (Apr - Mar), 2021",343,105,20,,,2,0
India,Gujarat,Surendranagar,"Financial Year (Apr - Mar), 2021",349,56,12,,,2,1
India,Gujarat,Tapi,"Financial Year (Apr - Mar), 2021",241,39,6,,,2,1
India,Gujarat,Unknown Districts Of India,"Financial Year (Apr - Mar), 2021",169,25,4,,,1,1
India,Gujarat,Vadodara,"Financial Year (Apr - Mar), 2021",242,77,10,,,0,0
India,Gujarat,Valsad,"Financial Year (Apr - Mar), 2021",363,58,10,,,2,0
India,Haryana,Ambala,"Financial Year (Apr - Mar), 2021",106,22,5,,,2,1
India,Haryana,Bhiwani,"Financial Year (Apr - Mar), 2021",139,26,6,,,3,1
India,Haryana,Charki Dadri,"Financial Year (Apr - Mar), 2021",78,12,3,,,0,1
India,Haryana,Faridabad,"Financial Year (Apr - Mar), 2021",61,26,2,,,1,1
India,Haryana,Fatehabad,"Financial Year (Apr - Mar), 2021",131,23,7,,,1,1
India,Haryana,Gurugram,"Financial Year (Apr - Mar), 2021",80,31,3,,,2,1
India,Haryana,Hisar,"Financial Year (Apr - Mar), 2021",198,32,9,,,3,1
India,Haryana,Jhajjar,"Financial Year (Apr - Mar), 2021",134,29,6,,,2,1
India,Haryana,Jind,"Financial Year (Apr - Mar), 2021",173,27,7,,,3,1
India,Haryana,Kaithal,"Financial Year (Apr - Mar), 2021",144,24,6,,,0,1
India,Haryana,Karnal,"Financial Year (Apr - Mar), 2021",146,25,8,,,1,1
India,Haryana,Kurukshetra,"Financial Year (Apr - Mar), 2021",117,17,7,,,0,1
India,Haryana,Mahendragarh,"Financial Year (Apr - Mar), 2021",140,19,7,,,1,1
India,Haryana,Nuh,"Financial Year (Apr - Mar), 2021",111,18,4,,,0,1
India,Haryana,Palwal,"Financial Year (Apr - Mar), 2021",95,18,7,,,0,1
India,Haryana,Panchkula,"Financial Year (Apr - Mar), 2021",46,9,2,,,0,1
India,Haryana,Panipat,"Financial Year (Apr - Mar), 2021",89,18,7,,,1,1
India,Haryana,Rewari,"Financial Year (Apr - Mar), 2021",114,19,5,,,1,1
India,Haryana,Rohtak,"Financial Year (Apr - Mar), 2021",116,21,8,,,0,1
India,Haryana,Sonipat,"Financial Year (Apr - Mar), 2021",164,33,7,,,1,1
India,Haryana,Yamunanagar,"Financial Year (Apr - Mar), 2021",113,20,7,,,1,1
India,Himachal Pradesh,Bilaspur,"Financial Year (Apr - Mar), 2021",124,37,8,,,3,1
India,Himachal Pradesh,Chamba,"Financial Year (Apr - Mar), 2021",178,46,5,,,7,0
India,Himachal Pradesh,Hamirpur,"Financial Year (Apr - Mar), 2021",153,32,2,,,5,0
India,Himachal Pradesh,Kangra,"Financial Year (Apr - Mar), 2021",439,81,20,,,21,1
India,Himachal Pradesh,Kinnaur,"Financial Year (Apr - Mar), 2021",35,25,4,,,1,1
India,Himachal Pradesh,Kullu,"Financial Year (Apr - Mar), 2021",99,23,5,,,4,1
India,Himachal Pradesh,Lahul and Spiti,"Financial Year (Apr - Mar), 2021",35,17,3,,,0,1
India,Himachal Pradesh,Mandi,"Financial Year (Apr - Mar), 2021",339,82,12,,,13,1
India,Himachal Pradesh,Shimla,"Financial Year (Apr - Mar), 2021",245,114,17,,,13,1
India,Himachal Pradesh,Sirmaur,"Financial Year (Apr - Mar), 2021",148,46,6,,,5,0
India,Himachal Pradesh,Solan,"Financial Year (Apr - Mar), 2021",182,43,7,,,7,1
India,Himachal Pradesh,Una,"Financial Year (Apr - Mar), 2021",138,24,8,,,5,1
India,Jammu and Kashmir,Anantnag,"Financial Year (Apr - Mar), 2021",139,65,5,,,0,0
India,Jammu and Kashmir,Bandipora,"Financial Year (Apr - Mar), 2021",71,27,3,,,0,1
India,Jammu and Kashmir,Baramulla,"Financial Year (Apr - Mar), 2021",188,86,7,,,0,0
India,Jammu and Kashmir,Budgam,"Financial Year (Apr - Mar), 2021",136,70,9,,,0,1
India,Jammu and Kashmir,Doda,"Financial Year (Apr - Mar), 2021",163,42,3,,,0,0
India,Jammu and Kashmir,Ganderbal,"Financial Year (Apr - Mar), 2021",60,30,1,,,0,1
India,Jammu and Kashmir,Jammu,"Financial Year (Apr - Mar), 2021",162,101,9,,,0,1
India,Jammu and Kashmir,Kathua,"Financial Year (Apr - Mar), 2021",185,53,5,,,0,0
India,Jammu and Kashmir,Kishtwar,"Financial Year (Apr - Mar), 2021",87,26,1,,,0,1
India,Jammu and Kashmir,Kulgam,"Financial Year (Apr - Mar), 2021",118,45,3,,,0,1
India,Jammu and Kashmir,Kupwara,"Financial Year (Apr - Mar), 2021",233,63,7,,,0,1
India,Jammu and Kashmir,Poonch,"Financial Year (Apr - Mar), 2021",137,44,3,,,0,1
India,Jammu and Kashmir,Pulwama,"Financial Year (Apr - Mar), 2021",97,47,3,,,0,1
India,Jammu and Kashmir,Rajouri,"Financial Year (Apr - Mar), 2021",197,55,7,,,0,0
India,Jammu and Kashmir,Ramban,"Financial Year (Apr - Mar), 2021",85,31,3,,,0,1
India,Jammu and Kashmir,Reasi,"Financial Year (Apr - Mar), 2021",103,33,2,,,0,1
India,Jammu and Kashmir,Samba,"Financial Year (Apr - Mar), 2021",82,21,3,,,0,1
India,Jammu and Kashmir,Shopian,"Financial Year (Apr - Mar), 2021",57,16,2,,,0,1
India,Jammu and Kashmir,Srinagar,"Financial Year (Apr - Mar), 2021",25,69,1,,,0,1
India,Jammu and Kashmir,Udhampur,"Financial Year (Apr - Mar), 2021",146,49,2,,,0,1
India,Jharkhand,Bokaro,"Financial Year (Apr - Mar), 2021",115,25,9,,,3,1
India,Jharkhand,Chatra,"Financial Year (Apr - Mar), 2021",93,9,5,,,0,1
India,Jharkhand,Deoghar,"Financial Year (Apr - Mar), 2021",180,10,7,,,1,1
India,Jharkhand,Dhanbad,"Financial Year (Apr - Mar), 2021",140,35,9,,,0,1
India,Jharkhand,Dumka,"Financial Year (Apr - Mar), 2021",248,35,10,,,0,0
India,Jharkhand,East Singhbum,"Financial Year (Apr - Mar), 2021",243,25,11,,,1,1
India,Jharkhand,Garhwa,"Financial Year (Apr - Mar), 2021",117,11,6,,,1,1
India,Jharkhand,Giridih,"Financial Year (Apr - Mar), 2021",179,17,11,,,0,1
India,Jharkhand,Godda,"Financial Year (Apr - Mar), 2021",181,10,7,,,0,1
India,Jharkhand,Gumla,"Financial Year (Apr - Mar), 2021",243,2,10,,,0,1
India,Jharkhand,Hazaribagh,"Financial Year (Apr - Mar), 2021",140,16,8,,,1,0
India,Jharkhand,Jamtara,"Financial Year (Apr - Mar), 2021",129,13,4,,,0,1
India,Jharkhand,Khunti,"Financial Year (Apr - Mar), 2021",108,5,5,,,0,1
India,Jharkhand,Koderma,"Financial Year (Apr - Mar), 2021",65,8,4,,,0,1
India,Jharkhand,Latehar,"Financial Year (Apr - Mar), 2021",97,7,6,,,0,1
India,Jharkhand,Lohardaga,"Financial Year (Apr - Mar), 2021",74,7,4,,,0,1
India,Jharkhand,Pakur,"Financial Year (Apr - Mar), 2021",121,10,5,,,0,1
India,Jharkhand,Palamu,"Financial Year (Apr - Mar), 2021",171,24,7,,,2,0
India,Jharkhand,Ramgarh,"Financial Year (Apr - Mar), 2021",54,8,4,,,0,1
India,Jharkhand,Ranchi,"Financial Year (Apr - Mar), 2021",324,35,15,,,1,1
India,Jharkhand,Sahebganj,"Financial Year (Apr - Mar), 2021",136,12,6,,,1,1
India,Jharkhand,Saraikela Kharsawan,"Financial Year (Apr - Mar), 2021",192,13,6,,,1,1
India,Jharkhand,Simdega,"Financial Year (Apr - Mar), 2021",155,8,6,,,0,1
India,Jharkhand,West Singhbhum,"Financial Year (Apr - Mar), 2021",343,16,13,,,1,1
India,Karnataka,Bagalkote,"Financial Year (Apr - Mar), 2021",233,55,8,,,5,1
India,Karnataka,Ballari,"Financial Year (Apr - Mar), 2021",348,92,13,,,7,1
India,Karnataka,Belagavi,"Financial Year (Apr - Mar), 2021",619,146,16,,,9,0
India,Karnataka,Bengaluru Rural,"Financial Year (Apr - Mar), 2021",199,50,2,,,4,0
India,Karnataka,Bengaluru Urban,"Financial Year (Apr - Mar), 2021",279,203,11,,,4,0
India,Karnataka,Bidar,"Financial Year (Apr - Mar), 2021",275,58,8,,,4,0
India,Karnataka,Chikkaballapura,"Financial Year (Apr - Mar), 2021",200,61,2,,,5,1
India,Karnataka,Chikkamagaluru,"Financial Year (Apr - Mar), 2021",365,91,5,,,6,1
India,Karnataka,Chitradurga,"Financial Year (Apr - Mar), 2021",328,86,11,,,5,1
India,Karnataka,Dakshina Kannada,"Financial Year (Apr - Mar), 2021",430,76,8,,,4,1
India,Karnataka,Davangere,"Financial Year (Apr - Mar), 2021",227,89,4,,,4,1
India,Karnataka,Dharwad,"Financial Year (Apr - Mar), 2021",185,53,0,,,3,1
India,Karnataka,Gadag,"Financial Year (Apr - Mar), 2021",188,42,2,,,4,0
India,Karnataka,Hassan,"Financial Year (Apr - Mar), 2021",468,138,15,,,7,0
India,Karnataka,Haveri,"Financial Year (Apr - Mar), 2021",310,72,5,,,6,1
India,Karnataka,Kalaburagi,"Financial Year (Apr - Mar), 2021",323,102,16,,,6,0
India,Karnataka,Kodagu,"Financial Year (Apr - Mar), 2021",196,30,7,,,2,0
India,Karnataka,Kolar,"Financial Year (Apr - Mar), 2021",240,68,2,,,5,1
India,Karnataka,Koppal,"Financial Year (Apr - Mar), 2021",173,48,9,,,3,0
India,Karnataka,Mandya,"Financial Year (Apr - Mar), 2021",410,116,10,,,6,0
India,Karnataka,Mysuru,"Financial Year (Apr - Mar), 2021",510,147,10,,,6,1
India,Karnataka,Raichur,"Financial Year (Apr - Mar), 2021",213,57,6,,,4,0
India,Karnataka,Ramanagara,"Financial Year (Apr - Mar), 2021",241,65,4,,,3,1
India,Karnataka,Shivamogga,"Financial Year (Apr - Mar), 2021",344,107,7,,,6,0
India,Karnataka,Tumakuru,"Financial Year (Apr - Mar), 2021",572,150,4,,,9,1
India,Karnataka,Udupi,"Financial Year (Apr - Mar), 2021",318,62,6,,,2,1
India,Karnataka,Uttara Kannada,"Financial Year (Apr - Mar), 2021",344,85,3,,,10,0
India,Karnataka,Vijayapura,"Financial Year (Apr - Mar), 2021",311,66,9,,,4,1
India,Karnataka,Yadgir,"Financial Year (Apr - Mar), 2021",169,44,6,,,2,1
India,Kerala,Alappuzha,"Financial Year (Apr - Mar), 2021",366,65,16,,,6,4
India,Kerala,Ernakulam,"Financial Year (Apr - Mar), 2021",410,90,24,,,11,4
India,Kerala,Idukki,"Financial Year (Apr - Mar), 2021",309,41,13,,,4,2
India,Kerala,Kannur,"Financial Year (Apr - Mar), 2021",414,86,12,,,9,3
India,Kerala,Kasaragod,"Financial Year (Apr - Mar), 2021",247,43,6,,,5,2
India,Kerala,Kollam,"Financial Year (Apr - Mar), 2021",421,62,16,,,9,2
India,Kerala,Kottayam,"Financial Year (Apr - Mar), 2021",333,59,20,,,3,5
India,Kerala,Kozhikode,"Financial Year (Apr - Mar), 2021",401,76,16,,,7,3
India,Kerala,Malappuram,"Financial Year (Apr - Mar), 2021",588,98,21,,,7,5
